epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.945,2.81056,10.8457,0.01067,0.19953,0.1627,0.0875,0.02684,2.28553,8.20859,0.01722,0.000473865,0.000473865,0.000473865
2,314.186,2.66248,7.19829,0.00926,0.24441,0.20762,0.12744,0.04052,2.33256,5.84892,0.0191,0.000949967,0.000949967,0.000949967
3,397.765,2.69186,6.18376,0.00959,0.22275,0.1811,0.10591,0.02918,2.53919,7.67137,0.02263,0.00142514,0.00142514,0.00142514
4,489.912,2.69577,5.91847,0.01011,0.25551,0.23291,0.1345,0.04257,2.4907,5.49595,0.02096,0.00142586,0.00142586,0.00142586
5,561.737,2.66433,5.67752,0.00983,0.34335,0.25267,0.19268,0.06467,2.30811,5.14353,0.01842,0.00142342,0.00142342,0.00142342
6,612.757,2.64832,5.49422,0.00961,0.32923,0.27595,0.21373,0.0728,2.3753,4.88304,0.01992,0.00142029,0.00142029,0.00142029
7,663.181,2.60551,5.38817,0.00968,0.28105,0.29945,0.20951,0.07382,2.3855,5.10086,0.01962,0.00141647,0.00141647,0.00141647
8,713.001,2.60024,5.27378,0.00946,0.3464,0.31865,0.25279,0.08935,2.33058,4.59539,0.01871,0.00141196,0.00141196,0.00141196
9,828.194,2.59276,5.16504,0.00934,0.37394,0.35375,0.29033,0.1023,2.40008,4.01829,0.02011,0.00140678,0.00140678,0.00140678
10,895.812,2.58723,5.12013,0.00934,0.39704,0.33791,0.28916,0.11113,2.28414,4.1058,0.01816,0.00140091,0.00140091,0.00140091
11,959.512,2.56765,5.08151,0.00949,0.39474,0.35272,0.30451,0.11781,2.23475,4.13922,0.01759,0.00139438,0.00139438,0.00139438
12,1050.93,2.55854,4.97376,0.00927,0.4375,0.37926,0.34229,0.12564,2.2904,3.69308,0.01817,0.00138718,0.00138718,0.00138718
13,1102.54,2.52804,4.84026,0.00919,0.42828,0.3657,0.32932,0.12005,2.3536,3.62266,0.01888,0.00137933,0.00137933,0.00137933
14,1176.72,2.50209,4.80102,0.00904,0.42793,0.41024,0.36231,0.13418,2.30014,3.56176,0.0185,0.00137082,0.00137082,0.00137082
15,1269.92,2.52473,4.78149,0.00908,0.45149,0.43255,0.39486,0.16,2.19072,3.27905,0.01658,0.00136168,0.00136168,0.00136168
16,1420.11,2.52773,4.72016,0.00893,0.46612,0.37721,0.34048,0.12827,2.30922,3.75608,0.01782,0.0013519,0.0013519,0.0013519
17,1470.11,2.50452,4.74118,0.00899,0.49476,0.43439,0.41493,0.16807,2.15805,3.17215,0.01614,0.0013415,0.0013415,0.0013415
18,1519.84,2.51343,4.62895,0.00871,0.46809,0.42737,0.4037,0.1677,2.14458,3.22672,0.0161,0.0013305,0.0013305,0.0013305
19,1569.74,2.47181,4.58315,0.00883,0.49729,0.44485,0.43316,0.18326,2.11801,3.046,0.01558,0.00131888,0.00131888,0.00131888
20,1618.94,2.46982,4.45712,0.00873,0.51538,0.47934,0.47077,0.20434,2.08019,2.90048,0.01493,0.00130668,0.00130668,0.00130668
21,1758.49,2.48013,4.52337,0.00859,0.54139,0.45183,0.44296,0.18552,2.14002,2.94341,0.01604,0.00129391,0.00129391,0.00129391
22,1842.77,2.43334,4.48343,0.00872,0.51877,0.46123,0.45321,0.19688,2.07057,2.86744,0.01469,0.00128057,0.00128057,0.00128057
23,1958.74,2.47301,4.41658,0.00852,0.50127,0.44075,0.4276,0.19148,2.05627,3.06957,0.01444,0.00126667,0.00126667,0.00126667
24,2018.47,2.45525,4.39132,0.00834,0.56986,0.51135,0.50691,0.22502,2.00832,2.73853,0.01403,0.00125224,0.00125224,0.00125224
25,2111.32,2.41458,4.3276,0.00842,0.55183,0.52092,0.51479,0.22626,2.05006,2.67913,0.01452,0.00123728,0.00123728,0.00123728
26,2192.3,2.44797,4.32864,0.00836,0.56019,0.48598,0.48549,0.21426,2.08714,2.8264,0.01447,0.00122182,0.00122182,0.00122182
27,2259.8,2.4504,4.31616,0.00825,0.54825,0.52014,0.52108,0.23996,1.95904,2.68527,0.01321,0.00120586,0.00120586,0.00120586
